TDet,label,x_m,z_m,CI95_x_lo,CI95_x_hi,CI95_y_lo,CI95_y_hi,CI95_z_lo,CI95_z_hi,TDOA_12,TDOAi_12,XAmp_12,TDOA_13,TDOAi_13,XAmp_13,TDOA_14,TDOAi_14,XAmp_14,TDOA_23,TDOAi_23,XAmp_23,TDOA_24,TDOAi_24,XAmp_24,TDOA_34,TDOAi_34,XAmp_34
739104.676637766,1,-100,20,-220,-40,-80,-40,NaN,20,-0.11125,-0.11125,0.312921941504231,-0.240083333333333,-0.240083333333333,0.0768287055750872,-0.434333333333333,-0.434333333333333,0.0653743233611472,-0.111166666666667,-0.111166666666667,0.0857287244858902,NaN,-0.299666666666667,0.036676831914518,-0.188333333333333,-0.188333333333333,0.0280338398528703
739104.676639988,1,-120,20,-240,-40,-80,-20,NaN,20,-0.11125,-0.11125,0.294544550972424,-0.245833333333333,-0.245833333333333,0.0980746951077599,-0.4345,-0.4345,0.122358699246619,-0.111166666666667,-0.111166666666667,0.0953663207443738,-0.299666666666667,-0.299666666666667,0.0583884870259872,-0.18825,-0.18825,0.0543330537558962
739104.676640729,1,-80,20,-200,-20,-80,-20,NaN,20,-0.11125,-0.11125,0.301563951666874,NaN,-0.246083333333333,0.0796143511344722,-0.434416666666667,-0.434416666666667,0.120839372642315,-0.111166666666667,-0.111166666666667,0.0833978748735557,-0.323333333333333,-0.323333333333333,0.0549362018615626,-0.188333333333333,-0.188333333333333,0.0381567847582002
739104.67664147,1,-120,20,-220,-40,-80,-20,NaN,20,-0.120083333333333,-0.120083333333333,0.389786410264656,-0.246083333333333,-0.246083333333333,0.225198381119482,-0.4345,-0.4345,0.177716357383911,-0.124583333333333,-0.124583333333333,0.151269916271238,-0.315166666666667,-0.315166666666667,0.0763510493446147,-0.188333333333333,-0.188333333333333,0.0897463526435433
739104.676642951,1,-80,20,-200,-20,-80,-20,NaN,20,-0.11125,-0.11125,0.486690709815676,NaN,-0.246083333333333,0.124234942419001,-0.434416666666667,-0.434416666666667,0.184842215295462,-0.111166666666667,-0.111166666666667,0.130858788438781,-0.323333333333333,-0.323333333333333,0.0908691208470858,-0.188166666666667,-0.188166666666667,0.0554513386810146
739104.6766511,1,-120,20,-220,-40,-60,-20,NaN,20,-0.120083333333333,-0.120083333333333,0.988843371920855,-0.246416666666667,-0.246416666666667,0.815549062563669,-0.435,-0.435,0.685154835946785,-0.125416666666667,-0.125416666666667,0.453024910758235,-0.315,-0.315,0.446542927223819,-0.188666666666667,-0.188666666666667,0.340419808876901
739104.676654062,1,-120,20,-220,-40,-80,-20,NaN,20,-0.12025,-0.12025,0.869847374239522,-0.24625,-0.24625,0.833389039102535,-0.434666666666667,-0.434666666666667,0.485141105771952,-0.124833333333333,-0.124833333333333,0.391244923771649,-0.315,-0.315,0.22608110389517,-0.188416666666667,-0.188416666666667,0.245309831894308
739104.676654803,1,-120,20,-220,-40,-80,-20,NaN,20,-0.12025,-0.12025,0.815908230568574,-0.24625,-0.24625,0.773113030963301,-0.43475,-0.43475,0.481533812079601,-0.125,-0.125,0.375693236118974,-0.315,-0.315,0.231289330984629,-0.1885,-0.1885,0.240591990332484
739104.676656285,1,-120,20,-220,-40,-80,-20,NaN,20,-0.120333333333333,-0.120333333333333,0.405561499400585,-0.246333333333333,-0.246333333333333,0.477166259572019,-0.43475,-0.43475,0.24015356067848,-0.124916666666667,-0.124916666666667,0.232828370904985,-0.315083333333333,-0.315083333333333,0.133216600089095,-0.1885,-0.1885,0.14403271635269
739104.676657025,1,-120,20,-220,-40,-60,-20,NaN,20,-0.120083333333333,-0.120083333333333,0.884103186216967,-0.246333333333333,-0.246333333333333,0.771253123332383,-0.434916666666667,-0.434916666666667,0.597612011975485,-0.12525,-0.12525,0.421210006200738,-0.315,-0.315,0.351137047045502,-0.188666666666667,-0.188666666666667,0.28916365662408
739104.676660729,1,-120,20,-220,-40,-60,-20,NaN,20,-0.120166666666667,-0.120166666666667,1.34940516494903,-0.2465,-0.2465,1.12875580884826,-0.435,-0.435,0.9360326307687,-0.1255,-0.1255,0.597768718768397,-0.315083333333333,-0.315083333333333,0.579277796971608,-0.188583333333333,-0.188583333333333,0.442537940758943
739104.676676285,1,-120,20,-220,-40,-60,-20,NaN,20,-0.120166666666667,-0.120166666666667,0.764434981246995,-0.246583333333333,-0.246583333333333,0.785732997637807,-0.435166666666667,-0.435166666666667,0.587629882106245,-0.125833333333333,-0.125833333333333,0.426603478110256,-0.315,-0.315,0.402368420769669,-0.188833333333333,-0.188833333333333,0.294841837963352
739104.676685174,1,-120,20,-220,-40,-60,-20,NaN,20,-0.120083333333333,-0.120083333333333,0.972476471435329,-0.246666666666667,-0.246666666666667,0.903411706405629,-0.435333333333333,-0.435333333333333,0.743889010306434,-0.125916666666667,-0.125916666666667,0.538137456407704,-0.315083333333333,-0.315083333333333,0.542644192691664,-0.188916666666667,-0.188916666666667,0.400447753934991
739104.676702211,1,-120,20,-220,-60,-60,-20,NaN,20,-0.1195,-0.1195,0.472863450715073,-0.247916666666667,-0.247916666666667,0.336231152389126,-0.436666666666667,-0.436666666666667,0.298119880825052,-0.126583333333333,-0.126583333333333,0.133766296685823,-0.315333333333333,-0.315333333333333,0.156120555549083,-0.188583333333333,-0.188583333333333,0.156457528944886
739104.676705174,1,-140,20,-260,-60,-60,-20,NaN,20,-0.119333333333333,-0.119333333333333,0.27605645189183,-0.248333333333333,-0.248333333333333,0.22057788339767,-0.43675,-0.43675,0.173928855344916,-0.129583333333333,-0.129583333333333,0.095222631150168,-0.318416666666667,-0.318416666666667,0.0604458274182715,-0.188416666666667,-0.188416666666667,0.0935129317887657
739104.676705914,1,-120,20,-220,-60,-60,-20,NaN,20,-0.119416666666667,-0.119416666666667,0.522270375514578,-0.248416666666667,-0.248416666666667,0.414600172397469,-0.436833333333333,-0.436833333333333,0.326053517591759,-0.129666666666667,-0.129666666666667,0.183277407007052,-0.3175,-0.3175,0.134478700632158,-0.188416666666667,-0.188416666666667,0.180793020622383
739104.676714062,1,-120,20,-220,-60,-60,-20,NaN,20,-0.119083333333333,-0.119083333333333,0.410146202548181,-0.248583333333333,-0.248583333333333,0.407909255169849,-0.437,-0.437,0.289258295562221,-0.1295,-0.1295,0.21221482123267,-0.317833333333333,-0.317833333333333,0.110121474969705,-0.188333333333333,-0.188333333333333,0.130422713347446
739104.67673184,1,-140,20,-260,-60,-60,-20,NaN,20,-0.119083333333333,-0.119083333333333,0.480721372733735,-0.249,-0.249,0.524627269560913,-0.437166666666667,-0.437166666666667,0.373689815508329,-0.12975,-0.12975,0.27327802996568,-0.317666666666667,-0.317666666666667,0.144886746459918,-0.188166666666667,-0.188166666666667,0.178276968347438
739104.676766655,1,-100,20,-220,-40,-80,-20,NaN,20,-0.118416666666667,-0.118416666666667,0.109764486937486,-0.250666666666667,-0.250666666666667,0.103794664088138,-0.437916666666667,-0.437916666666667,0.0687638881629482,-0.095,-0.095,0.0587396142628856,-0.318166666666667,-0.318166666666667,0.0551949712210258,-0.187583333333333,-0.187583333333333,0.0618171366677585
739104.676767396,1,-140,20,-260,-60,-60,-20,NaN,20,-0.118583333333333,-0.118583333333333,0.276128384921378,-0.250333333333333,-0.250333333333333,0.249043702208119,-0.43775,-0.43775,0.188301075434719,-0.13075,-0.13075,0.147546305160336,-0.318,-0.318,0.138300740870421,-0.187583333333333,-0.187583333333333,0.150774779692893
739104.676768137,1,-100,20,-220,-40,-80,-20,NaN,20,-0.1185,-0.1185,0.152187756566627,-0.250583333333333,-0.250583333333333,0.140523284955613,-0.437833333333333,-0.437833333333333,0.0971988279671115,-0.095,-0.095,0.0864334559576931,-0.318083333333333,-0.318083333333333,0.08117417226557,-0.187583333333333,-0.187583333333333,0.0840583268832034
739104.676768877,1,-100,20,-220,-40,-80,-20,NaN,20,-0.118333333333333,-0.118333333333333,0.182728322145893,-0.250833333333333,-0.250833333333333,0.155857467582688,-0.438,-0.438,0.0992119008755587,-0.095,-0.095,0.0860916720821676,-0.318166666666667,-0.318166666666667,0.0832268846677426,-0.187583333333333,-0.187583333333333,0.0927689185347653
739104.676774062,1,-140,20,-240,-60,-60,0,NaN,20,-0.118166666666667,-0.118166666666667,0.0777181531930472,-0.2515,-0.2515,0.0456239703845926,-0.439083333333333,-0.439083333333333,0.0259791802741982,-0.133333333333333,-0.133333333333333,0.0253820235162014,-0.32525,-0.32525,0.0176544345148256,-0.187583333333333,-0.187583333333333,0.0304328246825781
739104.677220729,1,-200,20,-320,-100,-20,40,NaN,20,NaN,-0.1145,0.0439648991932909,-0.274666666666667,-0.274666666666667,0.0192622849747883,-0.45975,-0.45975,0.013222030895349,-0.16,-0.16,0.0141253753872414,-0.3495,-0.3495,0.0105432828121793,-0.184916666666667,-0.184916666666667,0.0123146944882704
739104.67722147,1,-200,20,-320,-120,-20,40,NaN,20,-0.1145,-0.1145,0.0662322932974089,-0.274666666666667,-0.274666666666667,0.0322115335548158,-0.459666666666667,-0.459666666666667,0.0175080341945888,-0.160166666666667,-0.160166666666667,0.0230224817191648,-0.344916666666667,-0.344916666666667,0.0131977650066755,-0.184833333333333,-0.184833333333333,0.0113497633297645
739104.677222951,1,-200,20,-320,-100,-20,40,NaN,20,NaN,-0.1145,0.0517831613205948,-0.274666666666667,-0.274666666666667,0.0207917098740481,-0.45975,-0.45975,0.0141715443752913,-0.16,-0.16,0.0153870148237861,-0.3495,-0.3495,0.0116700876924326,-0.184833333333333,-0.184833333333333,0.0129678062711734
739104.677223692,1,-200,20,-320,-100,-20,40,NaN,20,-0.1145,-0.1145,0.0217986992104915,-0.274666666666667,-0.274666666666667,0.0083758008661355,-0.459666666666667,-0.459666666666667,0.00625384278086893,-0.160166666666667,-0.160166666666667,0.00631209064646225,-0.349583333333333,-0.349583333333333,0.00464801255235576,-0.184833333333333,-0.184833333333333,0.0054197123529196
739104.677238507,1,-200,20,-320,-120,-20,40,NaN,20,-0.1145,-0.1145,0.0486899506766715,-0.27475,-0.27475,0.0268686941427487,-0.459666666666667,-0.459666666666667,0.0146696466444456,-0.160083333333333,-0.160083333333333,0.0194511879900527,-0.344916666666667,-0.344916666666667,0.0115105648842847,-0.18475,-0.18475,0.00917275807855392
739104.677242211,1,-200,20,-320,-120,-20,40,NaN,20,-0.114416666666667,-0.114416666666667,0.00967048752283326,-0.274916666666667,-0.274916666666667,0.00476682789602095,-0.459666666666667,-0.459666666666667,0.00336995304033637,-0.16,-0.16,0.00354617380782678,-0.345416666666667,-0.345416666666667,0.00209354654866849,-0.18475,-0.18475,0.00219650133877403
739104.677243692,1,-200,20,-320,-120,-20,40,NaN,20,-0.1145,-0.1145,0.0645463666400248,-0.27475,-0.27475,0.0335967799817792,-0.459666666666667,-0.459666666666667,0.0189616105432459,-0.160166666666667,-0.160166666666667,0.0254568029096358,-0.344916666666667,-0.344916666666667,0.0146944019659434,-0.184833333333333,-0.184833333333333,0.0116497348994102
739104.677256285,1,-200,20,-320,-120,-20,40,NaN,20,-0.114416666666667,-0.114416666666667,0.0826642605324508,-0.275583333333333,-0.275583333333333,0.0393954371400026,-0.460166666666667,-0.460166666666667,0.0212943164093451,-0.161,-0.161,0.0285422515142012,-0.3455,-0.3455,0.0164076062136707,-0.1845,-0.1845,0.0161095974337312
739104.677268137,1,-220,20,-340,-120,-20,40,NaN,20,-0.1145,-0.1145,0.0124556679923565,-0.275583333333333,-0.275583333333333,0.00974401846662865,-0.460083333333333,-0.460083333333333,0.00551532004838684,-0.15825,-0.15825,0.00410135038240605,-0.342666666666667,-0.342666666666667,0.00261337767211537,-0.1845,-0.1845,0.0035213718336971
739104.677269618,1,-200,20,-320,-120,-20,40,NaN,20,-0.114416666666667,-0.114416666666667,0.0327528945913691,-0.275833333333333,-0.275833333333333,0.0184153935642406,-0.460333333333333,-0.460333333333333,0.0098443166361233,-0.161333333333333,-0.161333333333333,0.0128360450947992,-0.345916666666667,-0.345916666666667,0.00735424466205713,-0.184333333333333,-0.184333333333333,0.00684979384589731
739104.67727184,1,-200,20,-320,-120,-20,40,NaN,20,-0.11425,-0.11425,0.0648616198625049,-0.275833333333333,-0.275833333333333,0.0290868116101372,-0.460333333333333,-0.460333333333333,0.0139508064763658,-0.161416666666667,-0.161416666666667,0.018964179225378,-0.345916666666667,-0.345916666666667,0.0100456881081356,-0.184333333333333,-0.184333333333333,0.00981198722640933
739104.677279988,1,-200,20,-320,-120,-20,40,NaN,20,-0.114166666666667,-0.114166666666667,0.0942935241353827,-0.27625,-0.27625,0.0504383425489831,-0.460166666666667,-0.460166666666667,0.0224625059768338,-0.162083333333333,-0.162083333333333,0.0399647995552339,-0.346,-0.346,0.0185237960413317,-0.18425,-0.18425,0.0103878395921044
739104.67728147,1,-200,20,-320,-120,-20,40,NaN,20,-0.114166666666667,-0.114166666666667,0.104523340433654,-0.276166666666667,-0.276166666666667,0.0627027419415414,-0.460166666666667,-0.460166666666667,0.0310193582992172,-0.162083333333333,-0.162083333333333,0.0478458762840788,-0.346,-0.346,0.0276915495706127,-0.184,-0.184,0.0152211333052095
739104.677282951,1,-200,20,-320,-120,-20,40,NaN,20,-0.114083333333333,-0.114083333333333,0.11864338050605,-0.276166666666667,-0.276166666666667,0.0687542570014358,-0.460166666666667,-0.460166666666667,0.0334966743198664,-0.162083333333333,-0.162083333333333,0.0523396941336335,-0.346,-0.346,0.0298718720435372,-0.184,-0.184,0.0167004876220886
